task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,last_episodes,mean_episodes,std_episodes,min_episodes,max_episodes,last_mean_reward,mean_mean_reward,std_mean_reward,min_mean_reward,max_mean_reward,last_reward_per_agent,mean_reward_per_agent,std_reward_per_agent,min_reward_per_agent,max_reward_per_agent,last_policy_loss,mean_policy_loss,std_policy_loss,min_policy_loss,max_policy_loss,last_runtime,mean_runtime,std_runtime,min_runtime,max_runtime,last_throughput_agent_steps_per_sec,mean_throughput_agent_steps_per_sec,std_throughput_agent_steps_per_sec,min_throughput_agent_steps_per_sec,max_throughput_agent_steps_per_sec,last_episode_runtime_total,mean_episode_runtime_total,std_episode_runtime_total,min_episode_runtime_total,max_episode_runtime_total,last_throughput_total_agent_steps_per_sec,mean_throughput_total_agent_steps_per_sec,std_throughput_total_agent_steps_per_sec,min_throughput_total_agent_steps_per_sec,max_throughput_total_agent_steps_per_sec,last_stage,mean_stage,std_stage,min_stage,max_stage,last_mean_f1,mean_mean_f1,std_mean_f1,min_mean_f1,max_mean_f1,last_mean_temporal_var,mean_mean_temporal_var,std_mean_temporal_var,min_mean_temporal_var,max_mean_temporal_var,last_mean_uncertainty,mean_mean_uncertainty,std_mean_uncertainty,min_mean_uncertainty,max_mean_uncertainty,last_mean_core_size,mean_mean_core_size,std_mean_core_size,min_mean_core_size,max_mean_core_size,last_mean_core_switches,mean_mean_core_switches,std_mean_core_switches,min_mean_core_switches,max_mean_core_switches,last_proxy_loss,mean_proxy_loss,std_proxy_loss,min_proxy_loss,max_proxy_loss,last_bc_loss,mean_bc_loss,std_bc_loss,min_bc_loss,max_bc_loss,last_triggered,mean_triggered,std_triggered,min_triggered,max_triggered,last_trigger_count,mean_trigger_count,std_trigger_count,min_trigger_count,max_trigger_count,last_proxy_buffer_size,mean_proxy_buffer_size,std_proxy_buffer_size,min_proxy_buffer_size,max_proxy_buffer_size,last_pushed_proxy_samples,mean_pushed_proxy_samples,std_pushed_proxy_samples,min_pushed_proxy_samples,max_pushed_proxy_samples,last_promoted,mean_promoted,std_promoted,min_promoted,max_promoted,last_demoted,mean_demoted,std_demoted,min_demoted,max_demoted,last_mean_mu,mean_mean_mu,std_mean_mu,min_mean_mu,max_mean_mu,last_max_p,mean_max_p,std_max_p,min_max_p,max_max_p,last_proxy_train_residual,mean_proxy_train_residual,std_proxy_train_residual,min_proxy_train_residual,max_proxy_train_residual,last_proxy_holdout_residual,mean_proxy_holdout_residual,std_proxy_holdout_residual,min_proxy_holdout_residual,max_proxy_holdout_residual,last_scheduler_residual_ewma,mean_scheduler_residual_ewma,std_scheduler_residual_ewma,min_scheduler_residual_ewma,max_scheduler_residual_ewma,last_scheduler_cusum_score,mean_scheduler_cusum_score,std_scheduler_cusum_score,min_scheduler_cusum_score,max_scheduler_cusum_score,last_scheduler_accel_remaining,mean_scheduler_accel_remaining,std_scheduler_accel_remaining,min_scheduler_accel_remaining,max_scheduler_accel_remaining
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.17274999618530273,-0.2647812459617853,0.05387143401415417,-0.3215000033378601,-0.17274999618530273,-0.17274999618530273,-0.2647812459617853,0.05387143401415417,-0.3215000033378601,-0.17274999618530273,0.04282493144273758,-0.09155462146736681,0.16970507461714732,-0.4825196862220764,0.10635056346654892,0.06159090995788574,0.06079423427581787,0.0015714368947689751,0.058042287826538086,0.06323790550231934,3896.6789119385594,3950.3952250940783,102.65447778036038,3795.1921097576146,4134.916265141899,0.06159090995788574,0.06079423427581787,0.0015714368947689751,0.058042287826538086,0.06323790550231934,3896.6789119385594,3950.3952250940783,102.65447778036038,3795.1921097576146,4134.916265141899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,behavioral_drift,FullExplicitLocal,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.17012500762939453,-0.22106249630451202,0.03952974778123219,-0.2760000228881836,-0.17012500762939453,-0.17012500762939453,-0.22106249630451202,0.03952974778123219,-0.2760000228881836,-0.17012500762939453,-0.14335891604423523,-0.06624609317077557,0.09913638750797765,-0.28876787424087524,0.012583562172949314,0.06658601760864258,0.07477816939353943,0.011924417888142544,0.06321907043457031,0.09546422958374023,3604.360323973618,3281.7414310375025,454.59091901652516,2514.0306588812355,3796.3228239553478,0.06658601760864258,0.07477816939353943,0.011924417888142544,0.06321907043457031,0.09546422958374023,3604.360323973618,3281.7414310375025,454.59091901652516,2514.0306588812355,3796.3228239553478,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,behavioral_drift,Final-CIGAMF,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.2803749740123749,-0.24329686909914017,0.04190590731507412,-0.2803749740123749,-0.15437500178813934,-0.2803749740123749,-0.24329686909914017,0.04190590731507412,-0.2803749740123749,-0.15437500178813934,-0.09063474088907242,-0.07961420668289065,0.06009733735987952,-0.20766183733940125,-0.012139791622757912,0.7697768211364746,0.8061848878860474,0.04367778214179445,0.7617640495300293,0.8833279609680176,311.778678456012,298.5585543879847,15.886723486922078,271.69976566460076,315.0581865186052,2.9819464683532715,1.376718431711197,0.6077610505076275,1.099560022354126,2.9819464683532715,80.4843422063629,193.28325565216863,43.12081310042475,80.4843422063629,218.2691213947257,1,0.75,0.4330127018922193,0.0,1.0,0.5833333333333333,0.6056547619047619,0.10554991444229367,0.49999999999999994,0.7857142857142857,1.8389351552648766e-10,5.301894280916029e-10,5.729257155230189e-10,0.0,1.390527173346022e-09,0.5381324289394551,0.7638834872617415,0.19031492179294437,0.5381324289394551,1.0,2.0,2.375,0.4841229182759271,2.0,3.0,0.25,0.3125,0.3247595264191645,0.0,1.0,0.0014471524627879262,0.00018089405784849077,0.00047860069071643834,0.0,0.0014471524627879262,3.136152923107147,3.288667805492878,0.1729533151502359,3.136152923107147,3.7097494304180145,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100000,69740.0,36229.37482209705,1680.0,100000.0,1680,1680.0,0.0,1680.0,1680.0,4,0.5,1.3228756555322954,0.0,4.0,4,0.5,1.3228756555322954,0.0,4.0,0.000166439415583848,0.00012722487485893486,0.00010530171074718341,0.0,0.0002946019677058809,4.4953890251546866e-08,0.21750002876956465,0.28079127031522877,4.4953890251546866e-08,0.58,0.027639901265501976,0.003454987658187747,0.009141038126362211,0.0,0.027639901265501976,0.025065677240490913,0.003133209655061364,0.008289693552718838,0.0,0.025065677240490913,0.0,0.0,0.0,0.0,0.0,0.5579817945486454,0.06974772431858067,0.18453513305965644,0.0,0.5579817945486454,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,NoBelief,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.140500009059906,-0.2516562454402447,0.07215508902988624,-0.36012497544288635,-0.140500009059906,-0.140500009059906,-0.2516562454402447,0.07215508902988624,-0.36012497544288635,-0.140500009059906,0.08001027256250381,-0.007730871788226068,0.0677035685934895,-0.1419646143913269,0.08001027256250381,1.0979759693145752,1.1057927906513214,0.00983323346418405,1.0940890312194824,1.1235640048980713,218.58401887413157,217.0559318973049,1.920539787086617,213.60598858075076,219.3605759236007,1.4107482433319092,1.3981526494026184,0.01067813079558095,1.3761951923370361,1.4138438701629639,170.12248722221855,171.66512835518083,1.3162199932784366,169.75000215005133,174.39386602741666,1,0.75,0.4330127018922193,0.0,1.0,0.6428571428571429,0.6517857142857144,0.04639421805988064,0.5714285714285714,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.1875,0.49607837082461076,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.148508757352829,3.163423590362072,0.020932395038274362,3.128933548927307,3.2034505903720856,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.2386249601840973,-0.2621406204998493,0.06240801077868073,-0.3855000138282776,-0.18275001645088196,-0.2386249601840973,-0.2621406204998493,0.06240801077868073,-0.3855000138282776,-0.18275001645088196,-0.10662928968667984,-0.06178847001865506,0.031908395578555654,-0.10662928968667984,-0.026208367198705673,0.4516129493713379,0.44510418176651,0.009601504574272342,0.4269890785217285,0.4628329277038574,531.4285171275292,539.4510523502225,11.662073015130382,518.5456471099728,562.0752662595021,2.374706983566284,0.8387524783611298,0.58062297081581,0.6049752235412598,2.374706983566284,101.06510052013792,351.80888128120364,94.97251632076713,101.06510052013792,396.7104612898776,1,0.75,0.4330127018922193,0.0,1.0,0.4583333333333333,0.5424107142857142,0.09984387170679847,0.4583333333333333,0.75,1.860333202833428e-10,4.632107542126365e-10,4.5764955977475807e-10,0.0,1.0564929423095718e-09,0.5381324289394551,0.7638834872617415,0.19031492179294437,0.5381324289394551,1.0,2.0,2.375,0.4841229182759271,2.0,3.0,0.0,0.3125,0.49607837082461076,0.0,1.5,0.0009632064611651003,0.00012040080764563754,0.0003185505946816811,0.0,0.0009632064611651003,3.154388904571533,3.166828952729702,0.0190009742192586,3.1359184086322784,3.2033328115940094,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100000,69740.0,36229.37482209705,1680.0,100000.0,1680,1680.0,0.0,1680.0,1680.0,7,0.875,2.315032397181517,0.0,7.0,7,0.875,2.315032397181517,0.0,7.0,0.0001430038631606136,0.00013090571780495117,0.00011139424100205255,0.0,0.0003116330031731831,4.435748015539581e-08,0.21750002907056426,0.2807912700820755,4.435748015539581e-08,0.58,0.023120932281017303,0.002890116535127163,0.007646529611942143,0.0,0.023120932281017303,0.02281312458217144,0.00285164057277143,0.007544731784094991,0.0,0.02281312458217144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,105,52.5,34.3693177121688,0.0,105.0,-0.1525000035762787,-0.24235938116908073,0.054148399784678065,-0.32450002431869507,-0.1525000035762787,-0.1525000035762787,-0.24235938116908073,0.054148399784678065,-0.32450002431869507,-0.1525000035762787,-0.01320559624582529,0.008080513129243627,0.03984319464952358,-0.032596655189991,0.10640304535627365,1.1150472164154053,1.1165561079978943,0.022594797654174555,1.0857348442077637,1.169947862625122,215.2375222024582,215.03250763947705,4.244014547114626,205.1373464296857,221.048445926153,3.3790152072906494,2.9202947914600372,0.5253208525012747,1.904855728149414,3.41200852394104,71.02661138729707,85.44980376177836,18.424071431095204,70.33980082874706,125.99379388861242,1,1.0,0.0,1.0,1.0,0.3333333333333333,0.3958333333333333,0.05103103630798288,0.3333333333333333,0.5,4.024257305382131e-12,3.073517113459751e-10,7.289835196553559e-10,4.024257305382131e-12,2.2344498825895155e-09,0.2745321997257984,0.4093928275048729,0.1607048227433859,0.2745321997257984,0.7962654897350394,2.0,2.0,0.0,2.0,2.0,0.0,0.09375,0.12103072956898178,0.0,0.25,0.0007119631045497954,0.0010252016872982495,0.0002700419256201285,0.0007119631045497954,0.0014598219422623515,3.131158709526062,3.1685355566442013,0.02154401129790029,3.131158709526062,3.2034505903720856,0,0.0,0.0,0.0,0.0,1,0.75,0.4330127018922193,0.0,1.0,100000,69740.0,36229.37482209705,1680.0,100000.0,1680,1680.0,0.0,1680.0,1680.0,0,6.0,10.805091392487155,0.0,34.0,0,7.0,13.407087677791923,0.0,42.0,5.990642013772086e-05,0.00013243534654137605,0.0001241199067064217,5.990642013772086e-05,0.00045585225587555574,4.328866706616031e-08,4.502062812003957e-08,3.2093689318996993e-09,4.328866706616031e-08,5.340372994220716e-08,0.020239096134901047,0.023553420789539814,0.0027860683457751455,0.0197838693857193,0.028297320008277893,0.01664648950099945,0.021504908800125122,0.003440348532809593,0.01664648950099945,0.026837145909667015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6.0,3.4641016151377544,0.0,8.0
