task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,0,-0.23925000429153442,-0.23925000429153442,0.75,0.0,1.0,3.0,0.0,0.0,0.58,0.4430849552154541,541.6568474623514,0.614940881729126,390.28141912626506,0.0,0.0,0.0,0.0,0,0.0,3.2033328115940094,-0.04685129597783089,0,0,0,1680,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,15,-0.2888749837875366,-0.2888749837875366,0.6071428571428572,0.0,1.0,3.0,1.5,0.0,0.58,0.44841718673706055,535.215881769334,0.6180553436279297,388.31473989242033,0.0,0.0,0.0,0.0,0,0.0,3.1845787167549133,-0.054171133786439896,0,0,0,26880,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,30,-0.3073750138282776,-0.3073750138282776,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,0.44602012634277344,538.0923097975992,0.6182582378387451,388.18730638991843,0.0,0.0,0.0,0.0,0,0.0,3.1578289568424225,-0.03499897941946983,0,0,1,52080,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,45,-0.3855000138282776,-0.3855000138282776,0.4583333333333333,1.0564929423095718e-09,0.7302211552745749,2.0,0.5,0.0003116330031731831,4.958812310886164e-08,0.4419572353363037,543.038965789018,0.614647388458252,390.4677779596574,0.0,0.0,0.0,0.0,0,0.0,3.1702869832515717,-0.09295471757650375,0,0,1,77280,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,60,-0.2684999704360962,-0.2684999704360962,0.5416666666666666,9.930997183590257e-10,0.6563140025470898,2.0,0.5,0.00022620143339116913,4.6746730551022846e-08,0.4628329277038574,518.5456471099728,0.6427888870239258,373.37297648561673,0.0,0.0,0.0,0.0,0,0.0,3.1675517559051514,-0.10405314713716507,0,0,1,100000,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,75,-0.18275001645088196,-0.18275001645088196,0.4583333333333333,1.0304005696650154e-09,0.6101064644625217,2.0,0.0,0.00019902051634657973,4.642313875668042e-08,0.4269890785217285,562.0752662595021,0.6049752235412598,396.7104612898776,0.0,0.0,0.0,0.0,0,0.0,3.160745084285736,-0.02844082936644554,0,0,1,100000,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,90,-0.1862500011920929,-0.1862500011920929,0.4583333333333333,4.3965948308413606e-10,0.576293846870291,2.0,0.0,0.0001673869263680639,4.544904154368956e-08,0.43991899490356445,545.5549834864732,0.6216468811035156,386.07126858573525,0.0,0.0,0.0,0.0,0,0.0,3.1359184086322784,-0.026208367198705673,0,0,1,100000,1680,0,0
scalability,behavioral_drift,NoMultiMemory,0,8,120,30,40,105,-0.2386249601840973,-0.2386249601840973,0.4583333333333333,1.860333202833428e-10,0.5381324289394551,2.0,0.0,0.0001430038631606136,4.435748015539581e-08,0.4516129493713379,531.4285171275292,2.374706983566284,101.06510052013792,0.023120932281017303,0.02281312458217144,0.0,0.0,0,0.0009632064611651003,3.154388904571533,-0.10662928968667984,0,0,1,100000,1680,7,7
