task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,0,-0.304625004529953,-0.304625004529953,-0.4825196862220764,0.06116461753845215,3923.8371734952816,0.06116461753845215,3923.8371734952816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,15,-0.30262497067451477,-0.30262497067451477,-0.1803433895111084,0.058042287826538086,4134.916265141899,0.058042287826538086,4134.916265141899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,30,-0.3177499771118164,-0.3177499771118164,-0.012035386636853218,0.06243109703063965,3844.2380706879762,0.06243109703063965,3844.2380706879762,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,45,-0.26100000739097595,-0.26100000739097595,-0.11469893157482147,0.06032419204711914,3978.5033475879186,0.06032419204711914,3978.5033475879186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,60,-0.24637500941753387,-0.24637500941753387,0.10635056346654892,0.06323790550231934,3795.1921097576146,0.06323790550231934,3795.1921097576146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,75,-0.3215000033378601,-0.3215000033378601,-0.07273770123720169,0.05928802490234375,4048.0350019302537,0.05928802490234375,4048.0350019302537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,90,-0.19162499904632568,-0.19162499904632568,-0.01927737146615982,0.06027483940124512,3981.7609202131234,0.06027483940124512,3981.7609202131234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,8,120,30,40,105,-0.17274999618530273,-0.17274999618530273,0.04282493144273758,0.06159090995788574,3896.6789119385594,0.06159090995788574,3896.6789119385594,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
