task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,0,-0.23800000548362732,-0.23800000548362732,0.5,2.2344498825895155e-09,0.7962654897350394,2.0,0.25,0.00045585225587555574,5.340372994220716e-08,1.0857348442077637,221.048445926153,1.904855728149414,125.99379388861242,0.028297320008277893,0.01833193376660347,0.0,0.0,0,0.0014598219422623515,3.2034505903720856,-0.032596655189991,0,0,1,1680,1680,34,42
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,15,-0.28587499260902405,-0.28587499260902405,0.41666666666666663,9.140663197983005e-11,0.4926432444074367,2.0,0.25,0.00013198844171475793,4.5029641530718547e-08,1.1154167652130127,215.16621184563857,2.4121193885803223,99.49756265640502,0.0197838693857193,0.020238619297742844,0.0,0.0,0,0.0007140359957702458,3.1867657005786896,0.0023989637847989798,0,0,1,26880,1680,5,5
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,30,-0.32450002431869507,-0.32450002431869507,0.375,6.559363431190027e-11,0.41245774283896086,2.0,0.0,9.995017339261525e-05,4.384565894931123e-08,1.1142351627349854,215.39438713359172,2.609175443649292,91.98308246544237,0.026470927521586418,0.026318248361349106,0.0,0.0,8,0.0013766259653493762,3.170932650566101,0.010909778997302055,0,1,1,52080,1680,6,6
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,45,-0.2826250195503235,-0.2826250195503235,0.41666666666666663,3.682726973754806e-11,0.3658688925253736,2.0,0.0,9.374877461061218e-05,4.396984942872465e-08,1.104133129119873,217.3650927323491,2.9558441638946533,81.19507886497416,0.025027967989444733,0.026837145909667015,0.0,0.0,8,0.0011851852759718895,3.176284432411194,0.10640304535627365,0,1,1,77280,1680,2,2
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,60,-0.24937500059604645,-0.24937500059604645,0.375,1.2523453890282537e-11,0.33366985098288626,2.0,0.0,8.058620756559429e-05,4.372560480501927e-08,1.1066570281982422,216.869358694397,3.281888961791992,73.12861671863331,0.023252129554748535,0.018989980220794678,0.0,0.0,8,0.00096037209732458,3.176120847463608,-0.004769498948007822,0,1,1,100000,1680,0,0
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,75,-0.234250009059906,-0.234250009059906,0.3333333333333333,8.618607344324988e-12,0.3094448907129093,2.0,0.0,7.250971338546311e-05,4.3582444072749564e-08,1.169947862625122,205.1373464296857,3.41200852394104,70.33980082874706,0.023700043559074402,0.022558797150850296,0.0,0.0,8,0.000978277181275189,3.1581217646598816,0.01365844625979662,0,1,1,100000,1680,0,0
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,90,-0.1717499941587448,-0.1717499941587448,0.41666666666666663,5.3699536090171134e-12,0.29026030911057843,2.0,0.25,6.494078564868903e-05,4.331942916542586e-08,1.12127685546875,214.0416961515432,3.4074509143829346,70.43388328411542,0.021656012162566185,0.022118056192994118,0.0,0.0,8,0.0008153319358825684,3.1454497575759888,-0.018154378980398178,0,1,1,100000,1680,1,1
scalability,behavioral_drift,NoTwoTimescale,0,8,120,30,40,105,-0.1525000035762787,-0.1525000035762787,0.3333333333333333,4.024257305382131e-12,0.2745321997257984,2.0,0.0,5.990642013772086e-05,4.328866706616031e-08,1.1150472164154053,215.2375222024582,3.3790152072906494,71.02661138729707,0.020239096134901047,0.01664648950099945,0.0,0.0,8,0.0007119631045497954,3.131158709526062,-0.01320559624582529,0,1,1,100000,1680,0,0
