task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,NoBelief,0,16,120,30,40,0,-0.30049997568130493,-0.30049997568130493,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,4.511494159698486,106.39490665595353,5.000464916229248,95.99107443832614,0.0,0.0,0.0,0.0,0,0.0,3.2005882561206818,-0.07460147887468338,0,0,0,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,15,-0.42412495613098145,-0.42412495613098145,0.5714285714285714,0.0,1.0,3.0,2.5,0.0,0.58,4.5892250537872314,104.59282218113988,5.095896005630493,94.19344497408198,0.0,0.0,0.0,0.0,0,0.0,3.1901383101940155,0.11880519241094589,0,0,0,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,30,-0.39674997329711914,-0.39674997329711914,0.5892857142857143,0.0,1.0,3.0,0.0,0.0,0.58,4.585866928100586,104.66941311766553,5.123563051223755,93.6848039540282,0.0,0.0,0.0,0.0,0,0.0,3.193593442440033,-0.08156266063451767,0,0,1,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,45,-0.2824375033378601,-0.2824375033378601,0.625,0.0,1.0,3.0,0.0,0.0,0.58,4.609738111495972,104.12739040488103,5.144031047821045,93.31203399390887,0.0,0.0,0.0,0.0,0,0.0,3.1959039866924286,0.04057958349585533,0,0,1,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,60,-0.23893748223781586,-0.23893748223781586,0.6607142857142857,0.0,1.0,3.0,0.0,0.0,0.58,4.398745059967041,109.12203218333289,4.8872292041778564,98.215160359099,0.0,0.0,0.0,0.0,0,0.0,3.1629350185394287,-0.03289330378174782,0,0,1,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,75,-0.21674999594688416,-0.21674999594688416,0.5892857142857143,0.0,1.0,3.0,0.0,0.0,0.58,4.662808179855347,102.94225743056214,5.217092037200928,92.00527738006505,0.0,0.0,0.0,0.0,0,0.0,3.1307215690612793,-5.567669722950086e-05,0,0,1,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,90,-0.2887499928474426,-0.2887499928474426,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,4.60620903968811,104.20716816458273,5.152639150619507,93.15614502954067,0.0,0.0,0.0,0.0,0,0.0,3.0547773838043213,-0.043764688074588776,0,0,1,0,0,0,0
scalability,behavioral_drift,NoBelief,0,16,120,30,40,105,-0.27243751287460327,-0.27243751287460327,0.5892857142857142,0.0,1.0,3.0,0.0,0.0,0.58,4.6294591426849365,103.68381817527296,5.167265176773071,92.89246508145288,0.0,0.0,0.0,0.0,0,0.0,3.0226413011550903,-0.071378692984581,0,0,1,0,0,0,0
