task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,0,-0.30393749475479126,-0.30393749475479126,-0.32208946347236633,0.17104101181030273,2806.344483815121,0.17104101181030273,2806.344483815121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,15,-0.3633749783039093,-0.3633749783039093,-0.10902407020330429,0.14483094215393066,3314.208917386187,0.14483094215393066,3314.208917386187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,30,-0.2617499828338623,-0.2617499828338623,-0.0920347198843956,0.14266681671142578,3364.482442829736,0.14266681671142578,3364.482442829736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,45,-0.32468751072883606,-0.32468751072883606,0.09402742981910706,0.13749408721923828,3491.0592135836805,0.13749408721923828,3491.0592135836805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,60,-0.2293124943971634,-0.2293124943971634,0.016083382070064545,0.13806724548339844,3476.566786853993,0.13806724548339844,3476.566786853993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,75,-0.2540625035762787,-0.2540625035762787,-0.0140500133857131,0.14052820205688477,3415.6844887668854,0.14052820205688477,3415.6844887668854,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,90,-0.22856250405311584,-0.22856250405311584,0.03605284169316292,0.14137792587280273,3395.1551986400937,0.14137792587280273,3395.1551986400937,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,16,120,30,40,105,-0.29593750834465027,-0.29593750834465027,0.02750035561621189,0.1424708366394043,3369.1105584989773,0.1424708366394043,3369.1105584989773,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
