task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,0,-0.484437495470047,-0.484437495470047,-0.6892774105072021,0.16005396842956543,2998.9884331498624,0.16005396842956543,2998.9884331498624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,15,-0.3815624713897705,-0.3815624713897705,-0.1407500058412552,0.13697385787963867,3504.3183234408452,0.13697385787963867,3504.3183234408452,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,30,-0.2745000123977661,-0.2745000123977661,0.0021569898817688227,0.13743376731872559,3492.5914450618366,0.13743376731872559,3492.5914450618366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,45,-0.2876250147819519,-0.2876250147819519,-0.004331490490585566,0.14175009727478027,3386.241062463102,0.14175009727478027,3386.241062463102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,60,-0.2864999771118164,-0.2864999771118164,0.009809295646846294,0.1351158618927002,3552.50666558441,0.1351158618927002,3552.50666558441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,75,-0.3181874752044678,-0.3181874752044678,-0.04171763360500336,0.12714505195617676,3775.2157289254337,0.12714505195617676,3775.2157289254337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,90,-0.32124999165534973,-0.32124999165534973,0.007088187150657177,0.13269495964050293,3617.319009707796,0.13269495964050293,3617.319009707796,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,16,120,30,40,105,-0.25712499022483826,-0.25712499022483826,-0.024308396503329277,0.1316390037536621,3646.3357083606516,0.1316390037536621,3646.3357083606516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
