task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,0,-0.3144374489784241,-0.3144374489784241,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,2.2752811908721924,210.96293588925585,2.7980570793151855,171.54760835596616,0.0,0.0,0.0,0.0,0,0.0,3.850827783346176,-0.278788685798645,0,0,0,7200,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,15,-0.33006250858306885,-0.33006250858306885,0.5535714285714286,0.0,1.0,3.0,1.625,0.0,0.58,2.3422341346740723,204.93254405874893,2.8957765102386475,165.75864825992463,0.0,0.0,0.0,0.0,0,0.0,3.553818166255951,0.0265573188662529,0,0,0,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,30,-0.3545624911785126,-0.3545624911785126,0.5714285714285714,0.0,1.0,3.0,0.0,0.0,0.58,2.337951898574829,205.30790231082122,2.8984858989715576,165.60370370278974,0.0,0.0,0.0,0.0,0,0.0,3.4343345165252686,-0.028669659048318863,0,0,1,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,45,-0.2916249930858612,-0.2916249930858612,0.16666666666666666,1.4423463010565238e-09,0.7302211552745751,2.0,0.375,0.0003063516356377764,4.955742725233179e-08,2.175542116165161,220.63466224505842,2.7520992755889893,174.41231290512695,0.0,0.0,0.0,0.0,0,0.0,3.378286838531494,0.07299375534057617,0,0,1,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,60,-0.3009374737739563,-0.3009374737739563,0.16666666666666666,1.2467790258452444e-09,0.6563140025470898,2.0,0.125,0.0002258912243758632,4.7389296415066046e-08,2.1594879627227783,222.27491344512737,2.758070945739746,174.0346820089715,0.0,0.0,0.0,0.0,0,0.0,3.337633490562439,-0.04497861862182617,0,0,1,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,75,-0.22868749499320984,-0.22868749499320984,0.1875,1.1081839398443113e-09,0.6101064644625217,2.0,0.125,0.00019719697656432554,4.643144676783908e-08,2.1550660133361816,222.73099618741097,2.7053847312927246,177.42393325722648,0.0,0.0,0.0,0.0,0,0.0,3.3073657155036926,0.01433150190860033,0,0,1,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,90,-0.195374995470047,-0.195374995470047,0.16666666666666666,2.9494670227837117e-10,0.576293846870291,2.0,0.375,0.00017247699107134372,4.5918385038086084e-08,2.191159963607788,219.06205296379665,2.8282339572906494,169.7172183237003,0.0,0.0,0.0,0.0,0,0.0,3.265052855014801,-0.03794437274336815,0,0,1,100000,7200,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,120,30,40,105,-0.21649998426437378,-0.21649998426437378,0.125,1.509495905464142e-10,0.5381324289394553,2.0,0.0,0.00014604596421575864,4.5412273111153216e-08,2.1489548683166504,223.36439311822326,4.954423666000366,96.88311544569562,0.030329233035445213,0.030134566128253937,0.0,0.3647199030971472,0,0.0016686441376805305,3.193835496902466,-0.16501422226428986,0,0,1,100000,7200,5,5
