task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,0,-0.13831248879432678,-0.13831248879432678,0.6964285714285714,0.0,1.0,3.0,0.0,0.0,0.58,1.7626571655273438,108.92645703032008,1.9368951320648193,99.12772086701419,0.0,0.0,0.0,0.0,0,0.0,3.2065916061401367,-0.31978416442871094,0,0,0,2880,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,1,-0.1302500069141388,-0.1302500069141388,0.6964285714285714,0.0,1.0,3.0,1.0,0.0,0.58,1.7690632343292236,108.53201642212677,1.940124273300171,98.96273277041479,0.0,0.0,0.0,0.0,0,0.0,3.200072169303894,-0.09257673472166061,0,0,0,5760,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,2,-0.11606249213218689,-0.11606249213218689,0.5892857142857143,0.0,1.0,3.0,1.0,0.0,0.58,1.7864923477172852,107.4731723566186,1.9728963375091553,97.31884861340771,0.0,0.0,0.0,0.0,0,0.0,3.226417064666748,0.06388696283102036,0,0,0,8640,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,3,-0.13887499272823334,-0.13887499272823334,0.6785714285714286,0.0,1.0,3.0,0.875,0.0,0.58,1.802088975906372,106.54301900017583,1.9713060855865479,97.39735569419287,0.0,0.0,0.0,0.0,0,0.0,3.186373710632324,0.10604149848222733,0,0,0,11520,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,4,-0.14268749952316284,-0.14268749952316284,0.5892857142857144,0.0,1.0,3.0,1.125,0.0,0.58,1.7743089199066162,108.21114510888282,1.9407992362976074,98.9283159273452,0.0,0.0,0.0,0.0,0,0.0,3.2039380073547363,0.07006978243589401,0,0,0,14400,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,5,-0.11649999767541885,-0.11649999767541885,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,1.8006057739257812,106.630781029537,1.9671096801757812,97.60513200404914,0.0,0.0,0.0,0.0,0,0.0,3.21091365814209,0.05985346809029579,0,0,1,17280,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,6,-0.1431874930858612,-0.1431874930858612,0.6428571428571428,0.0,1.0,3.0,0.0,0.0,0.58,1.789989948272705,107.26317216768459,1.9672729969024658,97.59702913744566,0.0,0.0,0.0,0.0,0,0.0,3.202399253845215,-0.023348204791545868,0,0,1,20160,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,7,-0.12418749928474426,-0.12418749928474426,0.625,0.0,1.0,3.0,0.0,0.0,0.58,1.8569879531860352,103.39323939640292,2.0281288623809814,94.66854082170892,0.0,0.0,0.0,0.0,0,0.0,3.207781434059143,-0.05160534009337425,0,0,1,23040,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,8,-0.18662500381469727,-0.18662500381469727,0.5892857142857144,0.0,1.0,3.0,0.0,0.0,0.58,1.7734980583190918,108.26062035950362,1.9431710243225098,98.8075663936689,0.0,0.0,0.0,0.0,0,0.0,3.203760862350464,-0.15541978180408478,0,0,1,25920,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,9,-0.15556249022483826,-0.15556249022483826,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,1.7907109260559082,107.21998576447258,1.9596989154815674,97.97423394134951,0.0,0.0,0.0,0.0,0,0.0,3.2212367057800293,-0.08920256048440933,0,0,1,28800,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,10,-0.13849999010562897,-0.13849999010562897,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,1.7741801738739014,108.21899761215924,1.9382872581481934,99.05652487414767,0.0,0.0,0.0,0.0,0,0.0,3.220498561859131,-0.0927291214466095,0,0,1,31680,2880,0,0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,11,-0.12950000166893005,-0.12950000166893005,0.5892857142857143,0.0,1.0,3.0,0.0,0.0,0.58,1.7901570796966553,107.25315793658436,1.9633381366729736,97.79263001805622,0.0,0.0,0.0,0.0,0,0.0,3.225192070007324,-0.037733715027570724,0,0,1,34560,2880,0,0
