task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
structural,structural_shift,NoBelief,0,24,120,30,40,0,-0.320250004529953,-0.320250004529953,0.6904761904761906,0.0,1.0,3.0,0.0,0.0,0.58,10.716994047164917,67.18301762894694,11.369812965393066,63.32557995382194,0.0,0.0,0.0,0.0,0,0.0,3.205112725496292,-0.13874788582324982,0,0,0,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,15,-0.4349166452884674,-0.4349166452884674,0.6309523809523809,0.0,1.0,3.0,1.3333333333333333,0.0,0.58,11.511398792266846,62.54669940578232,12.309655904769897,58.49066826644646,0.0,0.0,0.0,0.0,0,0.0,3.1968682408332825,-0.029821639880537987,0,0,0,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,30,-0.3238333463668823,-0.3238333463668823,0.5595238095238096,0.0,1.0,3.0,0.0,0.0,0.58,11.244694948196411,64.03019408858967,11.998152017593384,60.00924133518515,0.0,0.0,0.0,0.0,0,0.0,3.179073005914688,-0.0632508248090744,0,0,1,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,45,-0.24729163944721222,-0.24729163944721222,0.5714285714285715,0.0,1.0,3.0,0.0,0.0,0.58,11.639081954956055,61.86054903526268,12.520859003067017,57.504041841189505,0.0,0.0,0.0,0.0,0,0.0,3.1180699467658997,0.02606475166976452,0,0,1,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,60,-0.22345833480358124,-0.22345833480358124,0.48809523809523814,0.0,1.0,3.0,0.0,0.0,0.58,11.718345880508423,61.442118823067325,12.564336061477661,57.30505746400121,0.0,0.0,0.0,0.0,0,0.0,3.0371534526348114,-0.018789270892739296,0,0,1,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,75,-0.2822916507720947,-0.2822916507720947,0.5714285714285715,0.0,1.0,3.0,0.0,0.0,0.58,11.775633096694946,61.14320937887251,12.633862018585205,56.98969950287844,0.0,0.0,0.0,0.0,0,0.0,3.0476828813552856,-0.05675244703888893,0,0,1,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,90,-0.27008330821990967,-0.27008330821990967,0.6071428571428572,0.0,1.0,3.0,0.0,0.0,0.58,11.458153009414673,62.83735253041279,12.30035924911499,58.53487572339027,0.0,0.0,0.0,0.0,0,0.0,2.9819187819957733,-0.0010010910918936133,0,0,1,0,0,0,0
structural,structural_shift,NoBelief,0,24,120,30,40,105,-0.2796666622161865,-0.2796666622161865,0.5476190476190476,0.0,1.0,3.0,0.0,0.0,0.58,11.488412141799927,62.671846301572124,12.365651369094849,58.22580457018846,0.0,0.0,0.0,0.0,0,0.0,2.944703459739685,0.03483869880437851,0,0,1,0,0,0,0
