task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,0,-0.3372083604335785,-0.3372083604335785,-0.39239442348480225,0.2661869525909424,2704.865858344477,0.2661869525909424,2704.865858344477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,15,-0.3605416715145111,-0.3605416715145111,-0.08073592931032181,0.24392485618591309,2951.7287055454285,0.24392485618591309,2951.7287055454285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,30,-0.40299999713897705,-0.40299999713897705,0.02920706197619438,0.2491309642791748,2890.0462135777384,0.2491309642791748,2890.0462135777384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,45,-0.320624977350235,-0.320624977350235,-0.024243762716650963,0.25448012351989746,2829.297589301524,0.25448012351989746,2829.297589301524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,60,-0.2644166648387909,-0.2644166648387909,0.006409356836229563,0.24736285209655762,2910.703825968781,0.24736285209655762,2910.703825968781,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,75,-0.3762916326522827,-0.3762916326522827,-0.06708558648824692,0.23972797393798828,3003.4041842202623,0.23972797393798828,3003.4041842202623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,90,-0.30937498807907104,-0.30937498807907104,0.02857259102165699,0.25241613388061523,2852.432564158268,0.25241613388061523,2852.432564158268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,FullExplicitLocal,0,24,120,30,40,105,-0.24699999392032623,-0.24699999392032623,-0.1307477056980133,0.24222803115844727,2972.4057804401277,0.24222803115844727,2972.4057804401277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
