task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
structural,structural_shift,PureMeanField,0,24,120,30,40,0,-0.39279165863990784,-0.39279165863990784,-0.5704132318496704,0.2313370704650879,3112.341651739981,0.2313370704650879,3112.341651739981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,15,-0.32504168152809143,-0.32504168152809143,-0.09773197025060654,0.2504708766937256,2874.5856983620974,0.2504708766937256,2874.5856983620974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,30,-0.3031249940395355,-0.3031249940395355,0.0813576728105545,0.23398613929748535,3077.1053454777775,0.23398613929748535,3077.1053454777775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,45,-0.3567083775997162,-0.3567083775997162,-0.03230450302362442,0.22858810424804688,3149.7702050965404,0.22858810424804688,3149.7702050965404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,60,-0.35629165172576904,-0.35629165172576904,-0.07342529296875,0.2411179542541504,2986.0903648887297,0.2411179542541504,2986.0903648887297,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,75,-0.27383336424827576,-0.27383336424827576,-0.008511503227055073,0.23250508308410645,3096.7064910987215,0.23250508308410645,3096.7064910987215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,90,-0.3299999535083771,-0.3299999535083771,-0.10856028646230698,0.23662519454956055,3042.7867217207836,0.23662519454956055,3042.7867217207836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
structural,structural_shift,PureMeanField,0,24,120,30,40,105,-0.3097916543483734,-0.3097916543483734,-0.047440055757761,0.23873400688171387,3015.908832614451,0.23873400688171387,3015.908832614451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
