task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,0,-0.3372083604335785,-0.3372083604335785,-0.39239442348480225,0.3967549800872803,1814.7220227496844,0.3967549800872803,1814.7220227496844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,7,-0.41441667079925537,-0.41441667079925537,-0.030135203152894974,0.3580620288848877,2010.8247787186356,0.3580620288848877,2010.8247787186356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,14,-0.3058333098888397,-0.3058333098888397,-0.049203887581825256,0.3251819610595703,2214.1449594988535,0.3251819610595703,2214.1449594988535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,21,-0.33250001072883606,-0.33250001072883606,0.014967896975576878,0.25806212425231934,2790.0258594167913,0.25806212425231934,2790.0258594167913,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,28,-0.39670833945274353,-0.39670833945274353,-0.09254845231771469,0.2683451175689697,2683.11198102923,0.2683451175689697,2683.11198102923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,35,-0.3602916896343231,-0.3602916896343231,-0.022668005898594856,0.28230714797973633,2550.413636893391,0.28230714797973633,2550.413636893391,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,42,-0.3608333170413971,-0.3608333170413971,-0.13409601151943207,0.3533618450164795,2037.5714304027981,0.3533618450164795,2037.5714304027981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,49,-0.3278333246707916,-0.3278333246707916,-0.007012142799794674,0.2973978519439697,2420.9993289919566,0.2973978519439697,2420.9993289919566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,56,-0.30391666293144226,-0.30391666293144226,-0.07220731675624847,0.2786581516265869,2583.8110092857746,0.2786581516265869,2583.8110092857746,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
