task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,0,-0.39279165863990784,-0.39279165863990784,-0.5704132318496704,0.29369306564331055,2451.5389848340446,0.29369306564331055,2451.5389848340446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,7,-0.3907083570957184,-0.3907083570957184,0.19594347476959229,0.3068251609802246,2346.6132884923513,0.3068251609802246,2346.6132884923513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,14,-0.3342916965484619,-0.3342916965484619,-0.06670147180557251,0.2538590431213379,2836.2196246672966,0.2538590431213379,2836.2196246672966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,21,-0.3764999806880951,-0.3764999806880951,-0.1193562000989914,0.30576491355895996,2354.750228270269,0.30576491355895996,2354.750228270269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,28,-0.3737916648387909,-0.3737916648387909,-0.0720146968960762,0.26014208793640137,2767.7182331834865,0.26014208793640137,2767.7182331834865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,35,-0.2955416440963745,-0.2955416440963745,0.038394007831811905,0.26777195930480957,2688.85510592396,0.26777195930480957,2688.85510592396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,42,-0.35479167103767395,-0.35479167103767395,-0.10122022777795792,0.2482607364654541,2900.176686216305,0.2482607364654541,2900.176686216305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,49,-0.31979167461395264,-0.31979167461395264,0.03709673509001732,0.28931498527526855,2488.637079461876,0.28931498527526855,2488.637079461876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,56,-0.3302916884422302,-0.3302916884422302,-0.014231949113309383,0.2448430061340332,2940.659859427857,0.2448430061340332,2940.659859427857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
