task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,last_episodes,mean_episodes,std_episodes,min_episodes,max_episodes,last_mean_reward,mean_mean_reward,std_mean_reward,min_mean_reward,max_mean_reward,last_reward_per_agent,mean_reward_per_agent,std_reward_per_agent,min_reward_per_agent,max_reward_per_agent,last_policy_loss,mean_policy_loss,std_policy_loss,min_policy_loss,max_policy_loss,last_runtime,mean_runtime,std_runtime,min_runtime,max_runtime,last_throughput_agent_steps_per_sec,mean_throughput_agent_steps_per_sec,std_throughput_agent_steps_per_sec,min_throughput_agent_steps_per_sec,max_throughput_agent_steps_per_sec,last_episode_runtime_total,mean_episode_runtime_total,std_episode_runtime_total,min_episode_runtime_total,max_episode_runtime_total,last_throughput_total_agent_steps_per_sec,mean_throughput_total_agent_steps_per_sec,std_throughput_total_agent_steps_per_sec,min_throughput_total_agent_steps_per_sec,max_throughput_total_agent_steps_per_sec,last_stage,mean_stage,std_stage,min_stage,max_stage,last_mean_f1,mean_mean_f1,std_mean_f1,min_mean_f1,max_mean_f1,last_mean_temporal_var,mean_mean_temporal_var,std_mean_temporal_var,min_mean_temporal_var,max_mean_temporal_var,last_mean_uncertainty,mean_mean_uncertainty,std_mean_uncertainty,min_mean_uncertainty,max_mean_uncertainty,last_mean_core_size,mean_mean_core_size,std_mean_core_size,min_mean_core_size,max_mean_core_size,last_mean_core_switches,mean_mean_core_switches,std_mean_core_switches,min_mean_core_switches,max_mean_core_switches,last_proxy_loss,mean_proxy_loss,std_proxy_loss,min_proxy_loss,max_proxy_loss,last_bc_loss,mean_bc_loss,std_bc_loss,min_bc_loss,max_bc_loss,last_triggered,mean_triggered,std_triggered,min_triggered,max_triggered,last_trigger_count,mean_trigger_count,std_trigger_count,min_trigger_count,max_trigger_count,last_proxy_buffer_size,mean_proxy_buffer_size,std_proxy_buffer_size,min_proxy_buffer_size,max_proxy_buffer_size,last_pushed_proxy_samples,mean_pushed_proxy_samples,std_pushed_proxy_samples,min_pushed_proxy_samples,max_pushed_proxy_samples,last_promoted,mean_promoted,std_promoted,min_promoted,max_promoted,last_demoted,mean_demoted,std_demoted,min_demoted,max_demoted,last_mean_mu,mean_mean_mu,std_mean_mu,min_mean_mu,max_mean_mu,last_max_p,mean_max_p,std_max_p,min_max_p,max_max_p
behavioral,behavioral_drift,PureMeanField,0,24,60,30,40,56,28.0,18.07392228230128,0.0,56.0,-0.3302916884422302,-0.3520555595556895,0.032067540973089705,-0.39279165863990784,-0.2955416440963745,-0.3302916884422302,-0.3520555595556895,0.032067540973089705,-0.39279165863990784,-0.2955416440963745,-0.014231949113309383,-0.07472261776112848,0.19739788635002986,-0.5704132318496704,0.19594347476959229,0.2448430061340332,0.27449721760219997,0.023227784720880648,0.2448430061340332,0.3068251609802246,2940.659859427857,2641.685454497494,221.39333639203844,2346.6132884923513,2940.659859427857,0.2448430061340332,0.27449721760219997,0.023227784720880648,0.2448430061340332,0.3068251609802246,2940.659859427857,2641.685454497494,221.39333639203844,2346.6132884923513,2940.659859427857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behavioral,behavioral_drift,FullExplicitLocal,0,24,60,30,40,56,28.0,18.07392228230128,0.0,56.0,-0.30391666293144226,-0.3488379650645786,0.0358669002337639,-0.41441667079925537,-0.30391666293144226,-0.30391666293144226,-0.3488379650645786,0.0358669002337639,-0.41441667079925537,-0.30391666293144226,-0.07220731675624847,-0.08725528294841449,0.11610774521271501,-0.39239442348480225,0.014967896975576878,0.2786581516265869,0.3131256898244222,0.044968988226512546,0.25806212425231934,0.3967549800872803,2583.8110092857746,2345.069445220791,320.04725709230587,1814.7220227496844,2790.0258594167913,0.2786581516265869,0.3131256898244222,0.044968988226512546,0.25806212425231934,0.3967549800872803,2583.8110092857746,2345.069445220791,320.04725709230587,1814.7220227496844,2790.0258594167913,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
