seed,state_idx,ego_id,neighbor_id,learned_score,oracle_score,abs_error,proxy_sigma
0,0,0,1,0.0037401095032691956,0.0,0.0037401095032691956,0.0016972465673461556
0,0,0,2,0.00403717253357172,0.0015793684870004654,0.0024578040465712547,0.0011095047229900956
0,0,0,3,0.002596144564449787,0.0,0.002596144564449787,0.00881769135594368
0,0,0,4,0.002032213844358921,0.0,0.002032213844358921,0.004512813873589039
0,0,0,5,0.005266193300485611,0.0,0.005266193300485611,0.0007525073015131056
0,0,1,0,0.0030907210893929005,0.0018050000071525574,0.001285721082240343,0.0051813493482768536
0,0,1,2,0.008254985325038433,0.0015793750062584877,0.006675610318779945,0.00255782064050436
0,0,1,3,0.006541429087519646,0.0,0.006541429087519646,0.008184161968529224
0,0,1,4,0.00034242216497659683,0.0,0.00034242216497659683,0.001153583056293428
0,0,1,5,0.005531009286642075,0.0,0.005531009286642075,0.0035911924205720425
0,0,2,0,0.0017653368413448334,0.0018050000071525574,3.9663165807724e-05,0.0032582534477114677
0,0,2,1,0.010088818147778511,0.0,0.010088818147778511,0.0030773968901485205
0,0,2,3,0.006733336020261049,0.0,0.006733336020261049,0.009798767045140266
0,0,2,4,0.0033025406301021576,0.0,0.0033025406301021576,0.0006473332759924233
0,0,2,5,0.004379489459097385,0.0,0.004379489459097385,0.0031797336414456367
0,1,0,1,0.00484691746532917,0.0,0.00484691746532917,0.0014956612139940262
0,1,0,2,0.003045298159122467,0.0033293752931058407,0.00028407713398337364,0.00256665819324553
0,1,0,3,0.002654658630490303,0.0,0.002654658630490303,0.009361190721392632
0,1,0,4,0.0007477663457393646,0.0,0.0007477663457393646,0.0037094673607498407
0,1,0,5,0.004428805783390999,0.0,0.004428805783390999,0.0002365536493016407
0,1,1,0,0.0011253198608756065,0.0,0.0011253198608756065,0.010049669072031975
0,1,1,2,0.007992766797542572,0.003329378552734852,0.00466338824480772,0.0028918711468577385
0,1,1,3,0.002383139915764332,0.0,0.002383139915764332,0.009274658747017384
0,1,1,4,0.000763273797929287,0.0,0.000763273797929287,0.00344327325001359
0,1,1,5,0.004578501917421818,0.0,0.004578501917421818,0.0008271836559288204
0,1,2,0,0.0033827312290668488,0.0,0.0033827312290668488,0.002108566462993622
0,1,2,1,0.005485180765390396,0.0,0.005485180765390396,0.002730855718255043
0,1,2,3,0.004968361929059029,0.0,0.004968361929059029,0.011177441105246544
0,1,2,4,0.0009343978017568588,0.0,0.0009343978017568588,0.0021717362105846405
0,1,2,5,0.010719014331698418,0.0,0.010719014331698418,0.002667950000613928
0,2,0,1,0.0036507686600089073,0.0,0.0036507686600089073,0.0020132889039814472
0,2,0,2,0.0027358103543519974,0.0,0.0027358103543519974,0.0003224556567147374
0,2,0,3,0.0012616747990250587,0.00046312413178384304,0.0007985506672412157,0.00403957674279809
0,2,0,4,0.0027692224830389023,0.0,0.0027692224830389023,0.007075505796819925
0,2,0,5,0.004436526447534561,0.0,0.004436526447534561,0.0058758738450706005
0,2,1,0,0.004477403126657009,0.003704998642206192,0.0007724044844508171,0.0024698826018720865
0,2,1,2,0.004614236764609814,0.0,0.004614236764609814,0.00045814993791282177
0,2,1,3,0.0045222933404147625,0.000463124830275774,0.0040591685101389885,0.006076814606785774
0,2,1,4,0.0022983206436038017,0.0,0.0022983206436038017,0.0032046539708971977
0,2,1,5,0.0056877536699175835,0.0,0.0056877536699175835,0.0014797134790569544
0,2,2,0,0.004829202778637409,0.0,0.004829202778637409,0.0033693218138068914
0,2,2,1,0.007124694064259529,0.0,0.007124694064259529,0.0014089582255110145
0,2,2,3,0.005060209892690182,0.0,0.005060209892690182,0.011282441206276417
0,2,2,4,0.0029522962868213654,0.0,0.0029522962868213654,0.003154612146317959
0,2,2,5,0.007137925364077091,0.0,0.007137925364077091,0.005452955607324839
