task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,0,-0.11712498962879181,-0.11712498962879181,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.45308613777160645,211.880240856965,0.5497190952301025,174.63464673683225,0.0,0.0,0.0,0.0,0,0.0,3.23811411857605,-0.3185306191444397,0,0,0,672,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,1,-0.125124990940094,-0.125124990940094,0.7142857142857143,0.0,1.0,3.0,0.5,0.0,0.58,0.4431726932525635,216.6198447278649,0.5376181602478027,178.56539659253886,0.0,0.0,0.0,0.0,0,0.0,3.2172266244888306,-0.16002394258975983,0,0,0,1344,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,2,-0.1211249977350235,-0.1211249977350235,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.43146705627441406,222.49670885404464,0.5215046405792236,184.08273393957708,0.0,0.0,0.0,0.0,0,0.0,3.1856021881103516,0.012365897186100483,0,0,0,2016,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,3,-0.11962499469518661,-0.11962499469518661,0.8214285714285714,0.0,1.0,3.0,0.75,0.0,0.58,0.4267878532409668,224.93611116387106,0.5190715789794922,184.9455911046766,0.0,0.0,0.0,0.0,0,0.0,3.208922863006592,0.12455249577760696,0,0,0,2688,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,4,-0.08362500369548798,-0.08362500369548798,0.6785714285714286,0.0,1.0,3.0,1.25,0.0,0.58,0.43454408645629883,220.92119762318873,0.5283372402191162,181.70212639220003,0.0,0.0,0.0,0.0,0,0.0,3.1956987380981445,0.18118499219417572,0,0,0,3360,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,5,-0.1107499897480011,-0.1107499897480011,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.43599700927734375,220.18499658774738,0.5261530876159668,182.4564033919902,0.0,0.0,0.0,0.0,0,0.0,3.1969977617263794,0.11271610110998154,0,0,1,4032,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,6,-0.11437499523162842,-0.11437499523162842,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.4273560047149658,224.6370682542047,0.5187060832977295,185.07590925032093,0.0,0.0,0.0,0.0,0,0.0,3.1997880935668945,0.03155628219246864,0,0,1,4704,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,7,-0.09174999594688416,-0.09174999594688416,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.4311048984527588,222.68362142148067,0.5214028358459473,184.11867638626345,0.0,0.0,0.0,0.0,0,0.0,3.210668206214905,-0.004788972437381744,0,0,1,5376,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,8,-0.10112499445676804,-0.10112499445676804,0.6428571428571428,0.0,1.0,3.0,0.0,0.0,0.58,0.4276409149169922,224.48740672681942,0.5221660137176514,183.84957557178296,0.0,0.0,0.0,0.0,0,0.0,3.212811589241028,-0.05852880701422691,0,0,1,6048,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,9,-0.10875000059604645,-0.10875000059604645,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.4323728084564209,222.0306136797127,0.5230228900909424,183.5483720096986,0.0,0.0,0.0,0.0,0,0.0,3.188105821609497,-0.08859705179929733,0,0,1,6720,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,10,-0.12150000035762787,-0.12150000035762787,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.4250831604003906,225.83816284224602,0.515876054763794,186.09121147124355,0.0,0.0,0.0,0.0,0,0.0,3.193536877632141,-0.15350298583507538,0,0,1,7392,672,0,0
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,11,-0.1067499965429306,-0.1067499965429306,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.42566704750061035,225.52838084057316,0.5214381217956543,184.10621699351188,0.0,0.0,0.0,0.0,0,0.0,3.208545207977295,-0.14197106659412384,0,0,1,8064,672,0,0
