task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,0,-0.39279165863990784,-0.39279165863990784,-0.5704132318496704,0.2996389865875244,2402.891586972072,0.2996389865875244,2402.891586972072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,15,-0.32504168152809143,-0.32504168152809143,-0.09773197025060654,0.25817203521728516,2788.838068360219,0.25817203521728516,2788.838068360219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,30,-0.3031249940395355,-0.3031249940395355,0.0813576728105545,0.2615177631378174,2753.1590640769086,0.2615177631378174,2753.1590640769086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,45,-0.3518333435058594,-0.3518333435058594,-0.009219897910952568,0.262103796005249,2747.00332835157,0.262103796005249,2747.00332835157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,60,-0.41208329796791077,-0.41208329796791077,-0.09600694477558136,0.26319098472595215,2735.656013254788,0.26319098472595215,2735.656013254788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,75,-0.3044583201408386,-0.3044583201408386,-0.10203848034143448,0.2659330368041992,2707.448493998587,0.2659330368041992,2707.448493998587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,90,-0.3095416724681854,-0.3095416724681854,-0.07248560339212418,0.26317906379699707,2735.77992721857,0.26317906379699707,2735.77992721857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,PureMeanField,0,24,120,30,40,105,-0.2997083365917206,-0.2997083365917206,-0.11283242702484131,0.26239490509033203,2743.955717250428,0.26239490509033203,2743.955717250428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
