task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,0,-0.3372083604335785,-0.3372083604335785,-0.39239442348480225,0.30304503440856934,2375.884499824163,0.30304503440856934,2375.884499824163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,15,-0.3605416715145111,-0.3605416715145111,-0.08073592931032181,0.2750058174133301,2618.1264337323078,0.2750058174133301,2618.1264337323078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,30,-0.40299999713897705,-0.40299999713897705,0.02920706197619438,0.2805030345916748,2566.8171506525628,0.2805030345916748,2566.8171506525628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,45,-0.29366666078567505,-0.29366666078567505,0.01192353293299675,0.2800459861755371,2571.0063187575665,0.2800459861755371,2571.0063187575665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,60,-0.30300000309944153,-0.30300000309944153,0.01583150029182434,0.2803511619567871,2568.2076541954184,0.2803511619567871,2568.2076541954184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,75,-0.3647083342075348,-0.3647083342075348,-0.13541503250598907,0.27980804443359375,2573.19263803681,0.27980804443359375,2573.19263803681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,90,-0.25208333134651184,-0.25208333134651184,-0.10057897865772247,0.2806110382080078,2565.8292154077258,0.2806110382080078,2565.8292154077258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
scalability,behavioral_drift,FullExplicitLocal,0,24,120,30,40,105,-0.26604166626930237,-0.26604166626930237,-0.055430930107831955,0.27948689460754395,2576.1494148447478,0.27948689460754395,2576.1494148447478,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
