task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,policy_loss,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,stage,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,proxy_loss,bc_loss,triggered,trigger_count,proxy_buffer_size,pushed_proxy_samples,promoted,demoted,mean_mu,max_p
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,0,-0.39279165863990784,-0.39279165863990784,-0.5704132318496704,0.2480151653289795,2903.0482835392613,0.2480151653289795,2903.0482835392613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,15,-0.32504168152809143,-0.32504168152809143,-0.09773197025060654,0.24252009391784668,2968.826163509152,0.24252009391784668,2968.826163509152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,30,-0.3031249940395355,-0.3031249940395355,0.0813576728105545,0.2261979579925537,3183.0526075027697,0.2261979579925537,3183.0526075027697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,45,-0.3518333435058594,-0.3518333435058594,-0.009219897910952568,0.21983718872070312,3275.1510524215237,0.21983718872070312,3275.1510524215237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,60,-0.41208329796791077,-0.41208329796791077,-0.09600694477558136,0.22614002227783203,3183.868086452293,0.22614002227783203,3183.868086452293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,75,-0.3044583201408386,-0.3044583201408386,-0.10203848034143448,0.23160028457641602,3108.804470239921,0.23160028457641602,3108.804470239921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,90,-0.3095416724681854,-0.3095416724681854,-0.07248560339212418,0.22411704063415527,3212.607117971522,0.22411704063415527,3212.607117971522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
behavioral,behavioral_drift,PureMeanField,0,24,120,30,40,105,-0.2997083365917206,-0.2997083365917206,-0.11283242702484131,0.24729108810424805,2911.548513614355,0.24729108810424805,2911.548513614355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
