task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,last_episodes,mean_episodes,std_episodes,min_episodes,max_episodes,last_mean_reward,mean_mean_reward,std_mean_reward,min_mean_reward,max_mean_reward,last_reward_per_agent,mean_reward_per_agent,std_reward_per_agent,min_reward_per_agent,max_reward_per_agent,last_mean_f1,mean_mean_f1,std_mean_f1,min_mean_f1,max_mean_f1,last_mean_temporal_var,mean_mean_temporal_var,std_mean_temporal_var,min_mean_temporal_var,max_mean_temporal_var,last_mean_uncertainty,mean_mean_uncertainty,std_mean_uncertainty,min_mean_uncertainty,max_mean_uncertainty,last_mean_core_size,mean_mean_core_size,std_mean_core_size,min_mean_core_size,max_mean_core_size,last_mean_core_switches,mean_mean_core_switches,std_mean_core_switches,min_mean_core_switches,max_mean_core_switches,last_mean_mu,mean_mean_mu,std_mean_mu,min_mean_mu,max_mean_mu,last_max_p,mean_max_p,std_max_p,min_max_p,max_max_p,last_runtime,mean_runtime,std_runtime,min_runtime,max_runtime,last_throughput_agent_steps_per_sec,mean_throughput_agent_steps_per_sec,std_throughput_agent_steps_per_sec,min_throughput_agent_steps_per_sec,max_throughput_agent_steps_per_sec,last_episode_runtime_total,mean_episode_runtime_total,std_episode_runtime_total,min_episode_runtime_total,max_episode_runtime_total,last_throughput_total_agent_steps_per_sec,mean_throughput_total_agent_steps_per_sec,std_throughput_total_agent_steps_per_sec,min_throughput_total_agent_steps_per_sec,max_throughput_total_agent_steps_per_sec,last_proxy_train_residual,mean_proxy_train_residual,std_proxy_train_residual,min_proxy_train_residual,max_proxy_train_residual,last_proxy_holdout_residual,mean_proxy_holdout_residual,std_proxy_holdout_residual,min_proxy_holdout_residual,max_proxy_holdout_residual,last_scheduler_residual_ewma,mean_scheduler_residual_ewma,std_scheduler_residual_ewma,min_scheduler_residual_ewma,max_scheduler_residual_ewma,last_scheduler_cusum_score,mean_scheduler_cusum_score,std_scheduler_cusum_score,min_scheduler_cusum_score,max_scheduler_cusum_score,last_scheduler_accel_remaining,mean_scheduler_accel_remaining,std_scheduler_accel_remaining,min_scheduler_accel_remaining,max_scheduler_accel_remaining,last_proxy_loss,mean_proxy_loss,std_proxy_loss,min_proxy_loss,max_proxy_loss,last_bc_loss,mean_bc_loss,std_bc_loss,min_bc_loss,max_bc_loss,last_policy_loss,mean_policy_loss,std_policy_loss,min_policy_loss,max_policy_loss,last_triggered,mean_triggered,std_triggered,min_triggered,max_triggered,last_trigger_count,mean_trigger_count,std_trigger_count,min_trigger_count,max_trigger_count,last_stage,mean_stage,std_stage,min_stage,max_stage,last_proxy_buffer_size,mean_proxy_buffer_size,std_proxy_buffer_size,min_proxy_buffer_size,max_proxy_buffer_size,last_pushed_proxy_samples,mean_pushed_proxy_samples,std_pushed_proxy_samples,min_pushed_proxy_samples,max_pushed_proxy_samples,last_promoted,mean_promoted,std_promoted,min_promoted,max_promoted,last_demoted,mean_demoted,std_demoted,min_demoted,max_demoted
scalability,behavioral_drift,Final-CIGAMF,0,8,12,12,40,11,5.5,3.452052529534663,0.0,11.0,-0.1067499965429306,-0.11013541246453921,0.012135566824104488,-0.125124990940094,-0.08362500369548798,-0.1067499965429306,-0.11013541246453921,0.012135566824104488,-0.125124990940094,-0.08362500369548798,0.6785714285714286,0.7023809523809522,0.06574619653087656,0.6071428571428571,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.20833333333333334,0.39308254716902513,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.58,0.42566704750061035,0.43285663922627765,0.007852837802791073,0.4250831604003906,0.45308613777160645,225.52838084057316,221.8536961315599,3.9286853231101087,211.880240856965,225.83816284224602,0.5214381217956543,0.5254179835319519,0.009075665187322538,0.515876054763794,0.5497190952301025,184.10621699351188,182.764738320053,3.072470607258877,174.63464673683225,186.09121147124355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208545207977295,3.204668174187342,0.013954167656997609,3.1856021881103516,3.23811411857605,-0.14197106659412384,-0.038630639746164284,0.13734791726446383,-0.3185306191444397,0.18118499219417572,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.5833333333333334,0.4930066485916347,0.0,1.0,8064,4368.0,2319.7792998472937,672.0,8064.0,672,672.0,0.0,672.0,672.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,Final-CIGAMF,0,16,12,12,40,11,5.5,3.452052529534663,0.0,11.0,-0.12950000166893005,-0.13835416299601397,0.018229839918710154,-0.18662500381469727,-0.11606249213218689,-0.12950000166893005,-0.13835416299601397,0.018229839918710154,-0.18662500381469727,-0.11606249213218689,0.5892857142857143,0.6354166666666666,0.04637034658000855,0.5892857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.3333333333333333,0.4741586115308768,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.58,1.7901570796966553,1.78922837972641,0.023640485081274525,1.7626571655273438,1.8569879531860352,107.25315793658436,107.32714701537236,1.386708062153405,103.39323939640292,108.92645703032008,1.9633381366729736,1.9607523282368977,0.024316964577078815,1.9368951320648193,2.0281288623809814,97.79263001805622,97.93638592190007,1.1926150034574123,94.66854082170892,99.12772086701419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225192070007324,3.209597925345103,0.011337422013123903,3.186373710632324,3.226417064666748,-0.037733715027570724,-0.04687899257987738,0.11314534094871366,-0.31978416442871094,0.10604149848222733,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.5833333333333334,0.4930066485916347,0.0,1.0,34560,18720.0,9941.91128505983,2880.0,34560.0,2880,2880.0,0.0,2880.0,2880.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,11,5.5,3.452052529534663,0.0,11.0,-0.1303749829530716,-0.1482673572997252,0.01080469649121771,-0.16899998486042023,-0.1303749829530716,-0.1303749829530716,-0.1482673572997252,0.01080469649121771,-0.16899998486042023,-0.1303749829530716,0.6904761904761904,0.6736111111111112,0.02452223629823068,0.6309523809523809,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.3888888888888889,0.551023178468816,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.58,4.342350006103516,4.44475120306015,0.1827333221789441,4.273726224899292,4.899805784225464,66.32353439846932,64.89950141964842,2.5305886269706233,58.77783991504177,67.38850006864597,4.6046037673950195,4.720167835553487,0.19231179336386295,4.523410320281982,5.171804666519165,62.546098328658445,61.1119226565477,2.385884392577154,55.68655789814191,63.66877634528776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203856945037842,3.2101024091243744,0.00891675029906321,3.198382616043091,3.2257802486419678,-0.06135706603527069,-0.042449595818955764,0.12095778220087346,-0.3482760190963745,0.13272669911384583,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.5833333333333334,0.4930066485916347,0.0,1.0,79488,43056.0,22866.39595563761,6624.0,79488.0,6624,6624.0,0.0,6624.0,6624.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scalability,behavioral_drift,Final-CIGAMF,0,48,12,12,40,11,5.5,3.452052529534663,0.0,11.0,-0.18264584243297577,-0.17117534577846527,0.017386251982240565,-0.19427083432674408,-0.14022916555404663,-0.18264584243297577,-0.17117534577846527,0.017386251982240565,-0.19427083432674408,-0.14022916555404663,0.3333333333333333,0.4345238095238095,0.09102148749991347,0.32142857142857145,0.5773809523809524,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.7118055555555555,1.0330838539191265,0.0,2.7916666666666665,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.58,24.298156023025513,22.026506821314495,0.8398703852935858,21.10402798652649,24.298156023025513,23.705502567938435,26.186520707552717,0.9508292102878443,23.705502567938435,27.29336789961317,24.914039850234985,22.57485791047414,0.8710180863071457,21.6142578125,24.914039850234985,23.11949420738232,25.55130634280314,0.9392843133033137,23.11949420738232,26.64907604030181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199177384376526,3.208657681941986,0.011792019311991739,3.195075511932373,3.2342242002487183,-0.10203594714403152,-0.049856414552778006,0.16167761942899647,-0.40317806601524353,0.21840327978134155,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.5833333333333334,0.4930066485916347,0.0,1.0,100000,88536.0,22724.84877837474,27072.0,100000.0,27072,27072.0,0.0,27072.0,27072.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
